;Wszystkie;;Montaż;;Spawanie;;Szlifowanie;;Pozostałe;
No;technol;wykonane;technol;wykonane;technol;wykonane;technol;wykonane;technol;wykonane
113;603,6;737,5;242;235;190;221,5;64;88;107,6;193
114;603,6;691,5;242;214;190;225;64;76;107,6;176,5
115;589,4;638;242;218;190;217,5;64;66,5;93,4;136
116;589,4;679;242;216,5;190;218,5;64;88,5;93,4;155,5
117;898,6;909,5;284;280;378;363;100;108;136,6;158,5
118;900,6;965;284;282;378;375;100;114;138,6;194
119;889;1235;298;294;356;367;100;131;135;443
120;878;1103,5;298;264;356;359,5;100;160;124;320
121;434,4;10;156;0;148;0;48;0;82,4;10
122;560,4;675,5;220;209,5;182;240;64;86;94,4;140
123;198,2;235;70;54,5;66;71;20;26;42,2;83,5
124;198,2;223,5;70;65;66;67;20;26;42,2;65,5
125;257,4;371;86;102;82;117;32;46;57,4;106
126;257,4;367;86;105;82;116;32;48;57,4;98
127;415,6;441;172;159;136;130;36;60;71,6;92
128;417,7;472,5;172;164,5;136;140,5;36;60;73,7;107,5
129;130;184,5;48;51;48;70;18;23,5;16;40
130;182,5;235;62;78;74;60,5;24;36;22,5;60,5
131;767;872,5;258;273;304;306;80;119;125;174,5
132;411,2;549;160;159;164;189;44;66;43,2;135
133;161;200;56;64;66;81,5;24;20;15;34,5
134;167;222,5;56;66;70;98,5;24;28,5;17;29,5
135;411,2;507;160;159;164;169;44;68;43,2;111
136;261,8;303,5;93;94;102;102;25;44;41,8;63,5
137;1426;1640,5;468;472;704;737,5;210;273;44;158
138;141,2;196,5;50;60;52;59,5;16;24;23,2;53
139;713;783;244;241;306;301;70;98;93;143
140;641,6;746;246;244;234;227;64;96;97,6;179
141;237,5;250;90;90;86;89;20;30;41,5;41
142;247,2;381;94;140;90;125;32;43;31,2;73
143;247,2;328;94;116;90;103,5;32;40,5;31,2;68
144;177,4;212,5;66;65;64;68;24;34,5;23,4;45
145;237,2;247;88;71;74;63;22;28;53,2;85
146;503,2;560,5;184;171,5;160;183;64;66,5;95,2;139,5
147;498,2;532;184;161;160;177;64;58;90,2;136
148;500,2;532;184;161;160;164;64;79;92,2;128
149;499,2;519;184;173,5;160;156;64;80;91,2;109,5
150;108,1;164;37;43;31;47;12;21;28,1;53
151;361,6;369;140;123;112;113;32;46;77,6;87
152;363,6;401,5;140;122;112;125;32;48;79,6;106,5
153;356,6;388,5;140;120;112;115;32;46;72,6;107,5
154;362,6;400;140;120,5;112;123;32;48;78,6;108,5
155;214;244;82;79;86;86;28;31,5;18;47,5
156;214,2;253;82;82,5;86;87;28;31;18,2;52,5
157;258;299;98;103;96;94;36;38;28;64
158;724;765,5;314;277,5;276;257,5;80;100;54;130,5
159;725,2;846;314;309;276;281;80;116;55,2;140
160;361,6;420;140;112;112;162,5;32;47,5;77,6;98
161;720,9;941,5;276;290,5;273;348,5;96;150;75,9;152,5
162;318,6;466,5;116;155,5;124;139;32;70;46,6;102
163;82,8;99,5;29;21,5;26;22,5;8;13;19,8;42,5
164;125,2;195,5;46;60;42;58,5;16;26;21,2;51
165;652,5;748;228;217,5;204;238;72;92;148,5;200,5
166;646,5;770,5;228;196,5;204;232;72;96,5;142,5;245,5
167;162,3;222;64;78;60;70,5;16;31;22,3;42,5
168;276,8;371,5;94;123;106;119;40;67,5;36,8;62
169;276,8;343,5;94;111;106;109;40;58,5;36,8;65
170;170,6;205;61;61;66;77,5;20;28;23,6;38,5
171;164;208;55;55;68;71,5;18;26;23;55,5
172;147;194;54;61;56;62,5;16;24,5;21;46
173;266,6;335,5;96;120;94;97,5;32;54;44,6;64
174;320;362;110;110;136;151,5;36;35,5;38;65
175;159;212;55;62;68;75,5;18;25;18;49,5
176;159;208;55;60;68;74,5;18;28;18;45,5
177;376,6;443,5;132;121;136;151;64;76;44,6;95,5
178;86;111,5;36;29;29;38;8;12;13;32,5
179;79,6;89;34;28;27;29,5;8;9;10,6;22,5
180;238,8;275;102;80,5;81;86,5;24;33;31,8;75
181;137,3;183,5;49;50;52;64,5;16;24;20,3;45
182;121,1;143,5;39;39;41;43,5;16;19;25,1;42
183;178,62;212;54;54,5;54;50,5;16;23;54,62;84
184;852;875,5;280;280;340;301;96;117,5;136;177
185;835,1;1039,5;330;322,5;273;351,5;96;119;136,1;246,5
