No;Description;Weight for 1;Quantity;Typ;Finish week ;Active;work preparation Plan;work preparation Done;Pre-fabrication plan 
729;2016;2420;2;C;201905;0;201846;43383;201848
730;2822;5930;2;C;201903;0;201843;43334;201845
731;2730;5460;2;C;201906;0;201846;43424;201847
732;1818;1340;2;B;201845;0;201836;43339;201838
733;1142;530;2;A ;201844;0;201835;43342;201837
734;2016;2420;2;C;201844;0;201836;43342;201837
735;2016;2420;2;C;201844;0;201836;43343;201837
736;1414;970;3;A ;201909;0;201845;43404;201847
737;1360;890;2;A ;201902;0;201845;43402;201847
738;1414;970;3;A ;201909;0;201844;43404;201846
739;2122;2720;2;B;201846;0;201840;43354;201841
740;2122;2720;2;B;201846;0;201839;43354;201840
741;2620;4760;2;C;201847;0;201838;43355;201840
742;2620;4760;2;C;201847;0;201838;43355;201840
743;1362;890;2;B;201847;0;201840;43376;201841
744;1362;890;2;B;201847;0;201839;43376;201840
745;1362;890;2;B;201847;0;201839;43376;201840
746;1362;890;2;B;201847;0;201840;43376;201841
747;1412;970;2;B;201906;0;201838;43358;201840
748;1566;1120;1;B;201905;0;201838;43358;201840
749;1566;1120;2;B;201920;0;201838;43360;201840
750;2016;2420;2;C;201909;0;201851;43458;201901
751;2822;5930;2;C;201912;0;201851;43404;201902
752;3030;6000;2;B;201851;0;201841;43397;201843
753;3030;6000;2;B;201851;0;201843;43397;201843
754;706;240;1;A ;201848;0;201841;43383;201842
755;2016;2420;2;C;201911;0;201901;43486;201902
756;2016;2420;2;C;201913;0;201902;43486;201904
757;3535;8540;1;B;201850;0;201842;43386;201843
758;1956;2260;4;A ;201847;0;201842;43386;201842
759;2425;3780;2;B;201801;0;201843;43399;201844
760;2419;4170;2;C;201905;0;201848;43444;201848
761;1420;1200;2;C;201912;0;201901;43474;201902
762;2727;4960;1;B;201850;0;201843;43402;201844
763;2116;2750;2;C;201905;0;201846;43419;201848
764;2217;3600;2;C;201912;0;201901;43458;201902
765;2016;2420;2;C;201914;0;201902;43476;201903
766;2217;3600;2;C;201915;0;201902;43476;201903
767;3427;9250;2;C;201917;0;201904;43439;201906
768;2016;2420;2;C;201917;0;201904;43480;0
769;2218;3630;2;C;201917;0;201904;43477;201906
770;2217;3600;2;C;201915;0;201902;43477;201903
771;1714;2340;1;B;201916;0;201902;43481;201904
772;1714;2340;1;B;201925;0;201913;43482;201915
773;1762;2800;1;B;201917;0;201902;43483;201904
774;2420;3680;2;B;201904;0;201847;43423;201848
775;2420;3680;2;B;201904;0;201847;43423;201848
776;1720;1890;1;B;201907;0;201849;43420;201850
777;3535;8540;3;B;201906;0;201846;43425;201847
778;1714;2340;1;B;201907;0;201848;43445;201850
779;1720;1890;1;B;201907;0;201849;43426;201850
780;2620;4760;2;C;201915;0;201903;43496;201905
781;2064;2560;2;A ;201915;0;201904;43434;201906
782;2064;2560;2;A ;201915;0;201904;43435;201906
783;710;300;2;A ;201905;0;201848;43433;201850
784;710;300;2;A ;201905;0;201848;43433;201850
785;810;350;2;A ;201910;0;201851;43458;201902
786;2320;3360;2;B;201907;0;201851;43475;201901
787;1110;530;1;C;201916;0;201905;43507;201907
788;2320;3360;2;B;201914;0;201902;43494;201904
789;2320;3360;2;B;201905;0;201850;43465;201851
790;2320;3360;2;B;201905;0;201850;43474;201851
791;2320;3360;2;B;201908;0;201901;43474;201902
792;2320;3360;2;B;201908;0;201901;43472;201902
793;2822;5930;2;C;201919;0;201908;43523;201910
794;1414;970;2;A ;201910;0;201901;43488;201902
795;2016;2420;2;C;201932;0;201923;43509;201924
796;2016;2420;2;C;201932;0;201923;43509;201925
797;2822;5930;2;C;201914;0;201903;43488;201905
798;2520;4500;2;C;201920;0;201910;43528;201912
799;2822;5930;2;C;201922;0;201910;43508;201912
800;3535;8540;1;B;201913;0;201902;43479;201904
801;1612;1160;2;A ;201927;0;201914;43566;201916
802;1612;1160;2;A ;201928;0;201919;43568;201921
803;910;400;2;A ;201909;0;201902;43486;201903
804;910;400;2;A ;201909;0;201902;43486;201903
805;3535;8540;1;B;201925;0;201913;43557;201915
806;1206;580;2;A ;201908;0;201902;43475;201903
807;1206;580;2;A ;201908;0;201902;43477;201903
808;1612;1160;2;B;201909;0;201902;43482;201904
809;3430;8000;1;B;201915;0;201903;43487;201905
810;2116;2750;2;C;201919;0;201908;43523;201910
811;2419;4170;2;C;201916;0;201906;43505;201908
812;2525;4110;2;B;201913;0;201905;43496;201907
813;2525;4110;2;B;201913;0;201905;43496;201907
814;2525;4110;2;B;201912;0;201904;43496;201906
815;2525;4110;2;B;201912;0;201904;43496;201906
816;2825;5380;2;B;201911;0;201902;43482;201904
817;2420;3730;2;A ;201911;0;201904;43501;201905
818;1462;1020;1;B;201910;0;201903;43487;201904
819;1412;970;2;B;201909;0;201902;43494;201904
820;1412;970;2;B;201909;0;201902;43483;201904
821;3230;6400;1;B;202049;0;202043;44095;202041
822;3230;6400;1;B;202010;0;201950;43543;201950
823;3030;6000;1;B;201919;0;201909;43529;201911
824;2825;5380;2;B;201921;0;201910;43481;201912
825;3535;8540;3;B;201931;0;201918;43537;201920
826;2416;4170;1;A ;201911;0;201904;43496;201905
827;2262;3210;2;B;201915;0;201906;43500;201908
828;2262;3210;2;B;201915;0;201906;43497;201908
829;2262;3210;2;B;201915;0;201906;43500;201908
830;1762;2800;2;B;201912;0;201904;43501;201905
831;1762;2800;2;B;201920;0;201912;43503;201914
832;810;350;2;A ;201918;0;201910;43528;201912
833;1313;950;2;A ;201930;0;201907;43521;201922
834;1313;950;2;A ;201929;0;201906;43510;201922
835;1313;950;2;A ;201930;0;201906;43510;201922
836;3636;9050;2;B;202005;0;201936;43745;201938
837;3386;7000;1;B;201917;0;201907;43518;201908
838;2218;3630;2;C;201931;0;201920;43544;201922
839;2171;2820;1;C;202006;0;201933;43535;201946
840;2822;5930;2;C;201928;0;201917;43536;201819
841;2016;2420;2;C;201926;0;201916;43525;201918
842;2020;2400;1;B;201918;0;201909;43521;201910
843;1412;970;2;B;201918;0;201912;43532;201913
844;3030;6000;2;B;201926;0;201913;43532;201914
845;1916;1720;2;B;201922;0;201915;43585;201916
846;1516;1060;2;B;201922;0;201915;43564;201916
847;1420;1200;1;C;201924;0;201916;43584;201917
848;1612;1160;3;A ;201927;0;201916;43568;201918
849;1612;1160;3;A ;201927;0;201915;43568;201917
850;1313;950;3;A ;201922;0;201916;43572;201917
851;3230;6400;1;B;202004;0;201938;43713;201940
852;3230;6400;1;B;202027;0;202016;43623;202017
853;3230;6400;1;B;202037;0;202023;43941;202032
854;1762;2800;1;B;201927;0;201920;43595;201921
855;2214;2960;2;B;201926;0;201917;43575;201918
856;2214;2960;2;B;201926;0;201917;43578;201918
857;1412;970;1;B;201923;0;201917;43587;201918
858;835;360;4;B;201923;0;201917;43581;201918
859;3030;6000;2;B;201928;0;201918;43599;201919
860;3030;6000;2;B;201928;0;201918;43594;201919
861;2625;4410;2;B;201929;0;201918;43606;201920
862;2625;4410;2;B;201938;0;201926;43612;201928
863;2625;4410;2;B;201930;0;201918;43612;201920
864;1042;460;1;A ;201927;0;201919;43596;201920
865;910;390;1;B;201925;0;201919;43592;201920
866;910;390;1;B;201925;0;201919;43592;201920
867;3030;6000;1;B;201933;0;201921;43598;201923
868;3030;6000;1;B;201933;0;201921;43598;201923
869;2822;5930;2;C;201936;0;201926;43633;201928
870;2016;2420;2;C;202146;Active;202029;43610;202030
871;3535;8540;2;B;201939;0;201925;43657;201928
872;1260;600;2;A ;201934;0;201922;43605;201926
873;1260;600;2;A ;201934;0;201922;43605;201926
874;2325;3410;2;B;201932;0;201922;43629;201924
875;1042;460;2;A ;201935;0;201926;43654;201928
876;1616;1160;1;B;201928;0;201920;43608;201921
877;1260;600;2;B;201925;0;201921;43605;201921
878;1566;1120;2;B;201930;0;201922;43607;201923
879;1412;970;2;B;201927;0;201921;43607;201922
880;2725;4910;2;B;201931;0;201921;43627;201923
881;2725;4910;2;B;201931;0;201921;43627;201923
882;2016;2420;2;C;201940;0;201931;44068;201933
883;2822;5930;2;C;201940;0;201929;43612;201931
884;1820;1460;1;B;201930;0;201923;43628;201924
885;3535;8540;1;B;201943;0;201930;43647;201934
886;1762;2800;2;B;201945;0;201936;43655;201939
887;1714;2340;2;B;202010;0;201951;43847;202004
888;1516;1060;2;B;201950;0;201939;43762;201942
889;1516;1060;2;B;202011;0;201951;43839;202004
890;1142;530;2;A ;201939;0;201930;43654;201933
891;2825;5380;2;B;201934;0;201924;43642;201925
892;2825;5380;2;B;201934;0;201924;43643;201925
893;1566;1120;2;B;201930;0;201924;43633;201925
894;1412;970;2;B;201930;0;201924;43633;201925
895;556;230;2;B;201934;0;201927;43637;201929
896;2625;4410;1;B;201930;0;201925;43640;201926
897;2223;3670;3;A ;201931;0;201925;43648;201926
898;1260;600;2;A ;201934;0;201926;43641;201928
899;1760;2800;2;B;201945;0;201926;43714;201938
900;2528;4160;1;B;201944;0;201934;43682;201936
901;2528;4160;1;B;202008;0;201947;43683;201950
902;2621;4800;1;C;201946;0;201937;43647;201939
903;2621;4800;1;C;201945;0;201936;43647;201938
904;2621;4800;1;C;201944;0;201935;43647;201937
905;2217;3600;2;C;201946;0;201937;43651;201939
906;2822;5930;2;C;201944;0;201935;43649;201937
907;2016;2420;2;C;201946;0;201937;43645;201939
908;2016;2420;2;C;202146;Active;202037;43645;202038
909;2419;4170;2;C;201945;0;201936;43651;201938
910;2828;5430;2;B;201941;0;201930;43669;201933
911;1663;1600;1;C;201937;0;201929;43644;201931
912;1108;530;2;C;201946;0;201936;43731;201938
913;1108;530;2;C;201946;0;201936;43731;201938
914;2525;4110;2;B;201940;0;201928;43677;201929
915;2625;4410;2;B;201940;0;201929;43669;201931
916;2625;4410;2;B;201940;0;201929;43664;201931
917;2218;3630;2;C;201949;0;201939;43663;201940
918;1108;530;2;C;201949;0;201940;43738;201942
919;2218;3630;2;C;201942;0;201930;43664;201933
920;2218;3630;2;C;201949;0;201938;43664;201940
921;2625;4410;2;B;201942;0;201931;43669;201933
922;2320;3360;2;B;201940;0;201930;43675;201932
923;1462;1020;2;B;201938;0;201930;43671;201932
924;3030;6000;2;B;201942;0;201930;43669;201932
925;3030;6000;2;B;201942;0;201930;43670;201932
926;2220;3020;2;B;201945;0;201934;43708;201936
927;1714;2340;2;A ;201944;0;201933;43671;201936
928;1362;890;2;B;201939;0;201932;43689;201933
929;3030;6000;1;B;201948;0;201941;43755;201942
930;2016;2420;2;C;201946;0;201939;43689;201940
931;2016;2420;2;C;201946;0;201939;43689;201940
932;1320;1070;1;A ;201940;0;201932;43691;201933
933;2822;5930;2;C;201950;0;201940;43712;201945
934;2822;5930;2;C;201950;0;201940;43712;201945
935;1010;440;1;B;201939;0;201932;44039;201933
936;2325;3410;1;B;201943;0;201935;43710;201935
937;1142;530;2;A ;201949;0;201942;43704;201944
938;3030;6000;1;B;202041;0;202030;44039;202031
939;1420;1200;2;C;201942;0;201935;43696;201936
940;1412;970;1;B;201942;0;201934;43699;201935
941;2016;2420;2;C;202001;0;201944;43707;201943
942;2116;2750;1;C;202001;0;201944;43714;201945
943;3030;6000;2;B;201944;0;201934;43697;201934
944;3030;6000;2;B;201944;0;201934;43698;201934
945;2620;4760;2;C;202002;0;201944;43707;201945
946;2620;4760;2;C;202002;0;201944;43722;201945
947;2016;2420;2;C;202001;0;201945;43707;201945
948;2016;2420;2;C;202003;0;201947;43706;201948
949;1919;1730;1;A ;202001;0;201942;43766;201944
950;2670;4690;1;B;201943;0;201936;43706;201936
951;1916;1720;2;B;201947;0;201936;43728;201937
952;1612;1160;2;A ;201950;0;201941;43767;201942
953;1916;1720;4;B;202001;0;201939;43796;201942
954;2120;2680;1;B;201942;0;201937;43722;201937
955;3838;10000;2;B;201949;0;201938;43735;201939
956;2621;4800;2;C;201944;0;201940;43738;201941
957;2822;5930;2;C;201947;0;201940;43734;201942
958;3535;8540;1;B;202004;0;201944;43784;201946
959;1320;690;2;B;201945;0;201939;43753;201940
960;4040;11100;1;B;202000;0;201943;43773;201945
961;2016;2420;2;C;202008;0;202002;43843;202003
962;1108;530;2;C;202005;0;201945;43791;201947
963;1008;460;1;C;202005;0;201947;43803;201949
964;1566;1120;1;B;201946;0;201940;43742;201942
965;710;300;2;A ;201949;0;201942;43771;201944
966;1566;1120;2;B;201947;0;201941;43748;201943
967;1566;1120;2;B;201948;0;201941;43748;201943
968;1566;1120;1;B;201949;0;201941;43759;201944
969;1566;1120;1;B;201949;0;201941;43759;201944
970;3030;6000;2;B;201949;0;201940;43761;201942
971;3230;6400;1;B;202002;0;201944;43784;201946
972;3024;7400;2;C;202013;0;202002;43843;202003
973;1820;1460;2;B;201949;0;201942;43757;201943
974;2825;5380;1;B;202004;0;201943;43768;201944
975;1822;1460;1;B;202007;0;201948;43822;202001
976;1762;2800;1;B;202007;0;202003;43846;202004
977;1762;2800;1;B;202040;0;202005;43860;202008
978;1916;1720;2;B;201950;0;201943;43774;201944
979;2170;2850;3;B;202004;0;201946;43795;201949
980;910;400;2;A ;202004;0;201945;43798;201946
981;910;400;2;A ;202010;0;201945;43798;201946
982;3618;9050;1;B;202007;0;201947;43812;201949
983;3618;9050;1;B;202008;0;201947;43812;201949
984;3618;9050;1;B;202009;0;201947;43813;201949
985;3618;9050;1;B;202013;0;202004;43813;202006
986;1260;600;2;A ;202013;0;202004;43860;202006
987;1260;600;2;A ;202014;0;202004;43860;202006
988;1108;530;2;C;201949;0;201943;43787;201944
989;1714;2340;2;A ;202010;0;201946;43803;201949
990;1816;1340;2;B;202011;0;201950;43864;202002
991;1816;1340;2;B;202011;0;201950;43864;202002
992;747;237;2;A ;202006;0;201948;43791;201951
993;1410;1170;2;A ;202002;0;201946;43795;201947
994;2115;2750;2;A ;202001;0;201946;43791;201947
995;1060;470;1;B;202003;0;201947;43802;201948
996;2825;5380;2;B;202007;0;201947;43801;201948
997;2825;5380;2;B;202007;0;201947;43801;201948
998;2218;3630;2;C;202009;0;201950;43843;202003
999;2218;3630;2;C;202013;0;202003;43843;202005
1000;2016;2420;2;C;202007;0;202001;43838;202002
1001;1818;1340;1;B;202008;0;201950;43837;202001
1002;2419;4170;2;C;202012;0;202002;43844;202004
1003;1566;1120;2;B;202019;0;202005;43900;202006
1004;2620;4760;2;C;202013;0;201951;43862;202003
1005;2822;5930;2;C;202012;0;201950;43816;201951
1006;3535;8540;1;B;202045;0;202008;43883;202010
1007;1320;1070;1;C;202012;0;202003;43859;202005
1008;1212;580;2;B;202005;0;201949;43817;201951
1009;1263;600;2;A ;202009;0;202002;43844;202003
1010;1263;600;2;A ;202009;0;202002;43844;202003
1011;1360;890;2;A ;202004;0;201949;43805;201950
1012;2620;4760;2;C;202014;0;202006;43915;202007
1013;2620;4760;2;C;202016;0;202008;43917;202009
1014;860;320;2;C;202016;0;202009;43887;202010
1015;1360;890;2;A ;202008;Active;202001;43820;202001
1016;910;400;1;A ;202007;0;202002;43840;202003
1017;2016;2420;2;C;202008;0;201951;43838;202002
1018;2016;2420;2;C;202010;0;202002;43844;202004
1019;2016;2420;2;C;202013;0;202004;43847;202006
1020;1364;890;2;B;202005;0;201951;43843;202001
1021;3756;10000;2;B;202011;0;202002;43859;202003
1022;1462;1020;2;B;202003;0;201951;43819;201952
1023;2325;3410;1;B;202006;0;202001;43840;202002
1024;3820;10000;1;B;202015;0;202005;43867;202006
1025;1612;1160;2;B;202014;0;202005;43865;202006
1026;2217;3600;2;C;202009;0;202006;43864;202006
1027;1058;480;1;C;202010;0;202003;43845;202005
1028;1058;480;1;C;202010;0;202003;43845;202005
1029;1058;480;1;C;202010;0;202003;43845;202005
1030;1058;480;1;C;202010;0;202003;43845;202005
1031;1058;480;1;C;202010;0;202003;43845;202005
1032;2020;1800;2;B;202012;0;202004;43861;202005
1033;2020;1800;2;B;202018;0;202011;43878;202012
1034;3030;6000;2;B;202011;0;202003;43860;202004
1035;3030;6000;2;B;202014;0;202005;43862;202006
1036;2625;4410;2;B;202015;0;202005;43867;202006
1037;1461;1280;2;C;202008;0;202003;43847;202004
1038;1461;1280;2;C;202008;0;202003;43847;202004
1039;1212;580;1;B;202011;0;202004;43862;202006
1040;710;300;2;A ;202016;0;202007;43872;202009
1041;1462;1020;2;B;202009;0;202003;43858;202004
1042;2420;3680;2;B;202014;0;202004;43862;202005
1043;1462;1020;2;B;202011;0;202005;43864;202006
1044;2419;4170;2;C;202013;0;202006;43869;202007
1045;2116;2750;1;C;202006;0;202004;43850;202005
1046;2825;5380;2;B;202015;0;202005;43865;202007
1047;2825;5380;2;B;202015;0;202005;43866;202007
1048;2825;5380;2;B;202016;0;202006;43867;202008
1049;760;290;2;C;202018;0;202013;43914;202012
1050;2217;3600;2;C;202019;0;202013;43918;202014
1051;2116;2750;2;C;202018;0;202013;43913;202014
1052;1915;2190;1;C;202018;0;202013;43911;202014
1053;2016;2420;2;C;202018;0;202013;43911;202014
1054;1920;1730;1;B;202024;0;202006;43879;202008
1055;910;390;2;B;202015;0;202008;43881;202010
1056;910;390;2;B;202023;0;202016;43911;202016
1057;1110;500;1;B;202017;0;202009;43892;202011
1058;910;400;1;A ;202019;0;202011;43906;202013
1059;3030;6000;2;B;202019;0;202008;43900;202010
1060;3030;6000;2;B;202019;0;202008;43900;202010
1061;2020;1800;1;B;202026;0;202018;43964;202020
1062;2528;4160;1;B;202028;0;202019;43970;202021
1063;2171;2820;1;C;202014;0;202008;43880;202009
1064;1864;2080;1;C;202016;0;202009;43892;202010
1065;1566;1120;1;B;202016;0;202009;43889;202010
1066;2016;2420;2;C;202024;0;202015;43925;202016
1067;2016;2420;2;C;202025;0;202015;43925;202016
1068;3820;10000;1;B;202041;0;202024;44043;202030
1069;3427;9250;2;C;202017;0;202008;43885;202010
1070;1008;460;1;C;202017;0;202009;43889;202011
1071;1263;600;2;A ;202019;0;202009;43889;202011
1072;1462;1020;2;B;202016;0;202009;43892;202010
1073;1920;2260;1;C;202014;0;202009;43888;202010
1074;1616;1160;2;B;202020;0;202015;43895;202012
1075;1516;1060;2;B;202019;0;202010;43895;202012
1076;1712;2340;3;B;202021;0;202011;43910;202013
1077;3030;6000;2;B;202019;0;202010;43895;202011
1078;2825;5380;2;B;202019;0;202010;43896;202012
1079;1566;1120;2;B;202019;0;202011;43902;202014
1080;1566;1120;2;B;202019;Active;202011;43902;202014
1081;1412;970;1;B;202012;0;202010;43893;202010
1082;1270;600;2;A ;202017;0;202010;43911;202012
1083;3030;6000;1;B;202020;0;202011;43903;202013
1084;3030;6000;1;B;202020;0;202011;43903;202013
1085;2420;3680;2;B;202025;0;202015;43932;202017
1086;1008;460;2;C;202038;0;202013;43915;202015
1087;3040;6000;1;B;202021;0;202013;43920;202014
1088;1209;580;2;C;202020;0;202014;43922;202015
1089;1667;1710;1;A ;202021;0;202013;43918;202015
1090;2725;4910;1;B;202021;0;202015;43925;202016
1091;2725;4910;1;B;202021;0;202015;43925;202016
1092;2625;4410;2;B;202025;0;202015;43929;202017
1093;1714;2340;2;A ;202041;0;202031;44041;202033
1094;1412;970;1;B;202031;0;202014;43924;202015
1095;3230;6400;1;B;202023;0;202015;43929;202017
1096;2520;4500;2;C;202030;0;202021;43970;202022
1097;2520;4500;2;C;202030;0;202021;43973;202022
1098;1616;1160;2;B;202106;Active;202051;44175;202051
1099;1516;1060;2;B;202021;0;202014;43942;202016
1100;859;370;1;B;202020;0;202014;43924;202015
1101;859;370;1;B;202021;0;202014;43924;202015
1102;859;370;1;B;202022;0;202014;43925;202015
1103;859;370;1;B;202023;0;202015;43932;202017
1104;2262;3210;2;B;202025;0;202019;43956;202020
1105;1516;1060;2;B;202029;0;202022;43979;202024
1106;2419;4170;2;C;202027;0;202018;43949;202020
1107;2116;2750;2;C;202030;0;202022;43974;202024
1108;2419;4170;2;C;202047;0;202037;44029;202026
1109;1566;1120;2;B;202025;Active;202018;43949;202019
1110;1142;530;2;A ;202029;0;202020;43969;202021
1111;1142;530;2;A ;202029;0;202020;43969;202021
1112;1612;1160;2;A ;202029;0;202020;43969;202021
1113;2016;2420;2;C;202025;0;202017;43946;202019
1114;2016;2420;2;C;202026;0;202018;43946;202020
1115;2016;2420;2;C;202028;0;202019;43946;202020
1116;2016;2420;2;C;202029;0;202020;43965;202022
1117;2016;2420;2;C;202030;0;202021;43974;202023
1118;2016;2420;2;C;202033;0;202023;43983;202025
1119;2016;2420;2;C;202034;0;202024;43985;202026
1120;2528;4160;1;B;202047;0;202036;44062;202038
1121;1060;470;3;A ;202025;0;202017;43943;202019
1122;1060;470;3;A ;202025;0;202017;43943;202019
1123;910;400;2;A ;202031;0;202024;43976;202026
1124;1263;600;1;A ;202026;0;202019;43963;202022
1125;2016;2420;2;C;202038;0;202029;44023;202031
1126;1670;1710;1;C;202039;0;202030;44033;202032
1127;2218;3630;2;C;202033;0;202024;43978;202026
1128;2116;2750;2;C;202036;0;202027;44012;202029
1129;2016;2420;2;C;202037;0;202028;44023;202030
1130;1762;2800;2;B;202033;0;202025;43987;202027
1131;1110;520;2;A ;202041;0;202034;44047;202036
1132;910;390;2;B;202026;0;202022;43974;202022
1133;747;237;2;A ;202030;0;202021;43973;202022
1134;3232;6400;1;B;202024;0;202021;43971;202021
1135;3326;8810;4;C;202038;0;202024;43991;202025
1136;3535;8540;2;B;202036;0;202026;43987;202028
1137;2020;1800;1;B;202035;0;202027;44012;202029
1138;1362;890;2;B;202032;0;202024;44014;202026
1139;1142;530;1;A ;202029;0;202024;43986;202025
1140;1762;2800;1;B;202041;0;202033;44033;202035
1141;1662;1830;1;B;202041;Active;202033;44034;202035
1142;1714;2340;1;B;202041;0;202033;44034;202035
1143;1762;2800;1;B;202041;0;202033;44033;202035
1144;2020;1800;2;B;202035;0;202027;44019;202029
1145;1414;970;2;A ;202037;0;202029;44027;202031
1146;2425;4260;1;C;202031;0;202026;44005;202027
1147;2425;4260;1;C;202031;0;202026;44005;202027
1148;2318;3860;2;C;202036;0;202027;44016;202029
1149;2318;3860;2;C;202036;0;202027;44016;202029
1150;2625;5000;2;C;202032;0;202026;44002;202027
1151;2118;2750;1;C;202028;0;202026;44004;202026
1152;1667;1710;1;A ;202034;0;202027;44016;202027
1153;2528;4160;1;B;202106;Active;202045;44125;202047
1154;2525;4110;2;B;202042;0;202033;44104;202034
1155;2825;5380;2;B;202037;0;202027;44105;202029
1156;1042;460;1;A ;202033;0;202027;44126;202027
1157;1110;520;2;A ;202035;0;202027;44120;202028
1158;2675;4750;2;B;202044;0;202036;44123;202038
1159;2016;2420;2;C;202042;0;202033;44054;202035
1160;2016;2420;2;C;202042;0;202033;44054;202035
1161;2620;4760;2;C;202042;0;202033;44057;202035
1162;2016;2420;2;C;202045;0;202036;44062;202038
1163;2016;2420;1;C;202046;0;202037;44062;202039
1164;2520;4500;2;C;202046;0;202037;44078;202039
1165;2520;4500;2;C;202046;0;202037;44071;202039
1166;2825;5380;1;B;202043;0;202034;44039;202035
1167;2116;2750;2;C;202044;0;202034;44063;202036
1168;3820;10000;1;B;202045;0;202034;44063;202035
1169;2525;4110;2;B;202045;0;202036;44042;202037
1170;1516;1060;2;B;202039;0;202031;44055;202032
1171;1516;1060;2;B;202039;0;202031;44056;202032
1172;910;400;2;A ;202044;0;202035;44069;202037
1173;1412;970;2;B;202036;0;202032;44057;202032
1174;1412;970;2;B;202039;Active;202032;44057;202033
1175;1412;970;2;B;202040;Active;202032;44057;202033
1176;3030;6000;1;B;202038;0;202032;44049;202033
1177;1816;1340;6;B;202040;0;202033;44050;202033
1178;1665;1660;1;C;202103;0;202046;44141;202047
1179;2830;5490;1;B;202042;0;202036;44091;202037
1180;1142;530;2;A ;202048;0;202038;44077;202040
1181;2218;3630;1;C;202105;0;202045;44107;202047
1182;2016;2420;2;C;202103;0;202043;44123;202045
1183;2016;2420;2;C;202049;0;202040;44104;202041
1184;2016;2420;2;C;202049;0;202040;44110;202041
1185;2419;4170;2;C;202104;0;202044;44149;202046
1186;1725;1250;2;A ;202043;0;202038;44084;202038
1187;2420;3680;2;B;202048;0;202039;44104;202040
1188;2420;3680;2;B;202048;0;202039;44104;202040
1189;2626;4460;2;A ;202102;0;202040;44105;202042
1190;2626;4460;2;A ;202046;0;202040;44105;202039
1191;1060;470;2;A ;202050;0;202042;44097;202043
1192;1060;470;2;A ;202050;0;202042;44107;202043
1193;1362;890;2;B;202046;0;202040;44090;202040
1194;1362;890;2;B;202046;0;202040;44091;202040
1195;2420;3680;2;B;202050;0;202041;44107;202042
1196;1060;470;1;A ;202045;0;202039;44107;202040
1197;1209;580;1;C;202103;0;202045;44104;202046
1198;3232;6400;1;B;202048;0;202041;44111;202041
1199;1414;970;3;A ;202105;0;202047;44155;202048
1200;1142;530;3;A ;202049;0;202042;44112;202042
1201;1916;1720;2;B;202104;0;202045;44140;202046
1202;1916;1720;2;B;202104;0;202045;44141;202046
1203;1060;470;2;A ;202102;0;202043;44125;202044
1204;1520;1060;1;B;202050;0;202043;44120;202044
1205;1762;2800;1;B;202049;Active;202042;44118;202043
1206;3838;10000;1;B;202105;Active;202046;44145;202047
1207;1762;2800;1;B;202049;0;202042;44118;202043
1208;1142;530;1;A ;202103;0;202045;44142;202046
1209;1762;2800;2;B;202050;0;202043;44119;202043
1210;2220;3020;2;B;202104;Active;202045;44127;202046
1211;2419;4170;2;C;202106;Active;202047;44153;202048
1212;2217;3600;2;C;202104;0;202045;44142;202046
1213;2217;3600;2;C;202105;Active;202045;44142;202046
1214;2217;3600;2;C;202104;0;202045;44142;202046
1215;1612;1160;1;A ;202101;0;202044;44130;202045
1216;2520;4500;2;C;202109;Active;202052;44168;202051
1217;2520;4500;2;C;202109;Active;202052;44172;202051
1218;1320;690;2;B;202050;0;202044;44130;202045
1219;3030;7410;2;C;202103;0;202046;44142;202047
1220;2878;5600;1;B;202105;Active;202046;44166;202047
1221;2416;4170;2;A ;202121;Active;202108;0;202110
1222;1778;2800;2;A ;202103;0;202047;44165;202048
1223;3024;7400;2;C;202110;Active;202051;44179;202050
1224;3024;7400;2;C;202108;Active;202051;44180;202051
1225;1263;600;2;A ;202104;0;202047;44169;202048
1226;2016;2420;1;C;202117;Active;202107;0;202108
1227;1714;2340;2;A ;202104;0;202047;44151;202048
1228;980;420;2;B;202109;Active;202103;44216;202103
1229;1462;1020;2;B;202103;0;202047;44155;202048
1230;1412;970;2;B;202050;0;202047;44153;202047
1231;1412;970;2;B;202101;0;202048;44159;202049
1232;1412;970;2;B;202101;0;202048;44160;202049
1233;1412;970;2;B;202105;0;202048;44161;202049
1234;1412;970;2;B;202113;Active;202048;44161;202049
1235;1412;970;2;B;202113;Active;202048;44162;202049
1236;706;240;2;C;202111;Active;202103;44212;202104
1237;1662;1830;1;B;202106;Active;202050;44167;202051
1238;2620;4760;2;C;202119;Active;202110;0;202112
1239;1412;970;2;B;202101;0;202049;44167;202050
1240;1714;2340;1;B;202107;Active;202101;44200;202102
1241;1714;2340;1;B;202107;Active;202101;44200;202102
1242;1520;1060;2;B;202106;Active;202051;44175;202052
1243;1520;1060;2;B;202106;Active;202051;44179;202052
1244;1520;1060;2;B;202106;Active;202051;44179;202052
1245;2820;5320;2;B;202115;Active;202104;44224;202106
1246;2828;5430;2;B;202114;Active;202103;44232;202105
1247;2419;4170;2;C;202119;Active;202109;44218;202112
1248;2469;4370;2;C;202110;Active;202101;44205;202102
1249;2419;4170;2;C;202116;Active;202107;44221;202108
1250;2217;3600;2;C;202113;Active;202103;44212;202105
1251;3326;8810;5;C;202117;Active;202101;44205;202103
1252;3230;6400;2;B;202127;Active;202112;0;202114
1253;1516;1060;2;B;202110;Active;202103;44225;202104
1254;2368;4010;3;C;202116;Active;202105;44229;202106
1255;2368;4010;3;C;202112;Active;202105;44231;202106
